Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,219,98981,66661,36046,5456,16007,4475,16313,117309,521,1602
C:\__PR00F__\___developing___\projects\PGE\PGE,219,98981,66661,36046,5456,16007,4475,16313,117309,521,1602
C:\__PR00F__\___developing___\projects\PGE\PGE\Audio,2,193,105,53,13,46,6,42,191,8,19
C:\__PR00F__\___developing___\projects\PGE\PGE\Config,8,3600,2169,1260,462,514,212,917,6726,17,45
C:\__PR00F__\___developing___\projects\PGE\PGE\Network,21,5072,3054,1665,405,957,179,1061,7890,58,139
C:\__PR00F__\___developing___\projects\PGE\PGE\Network\Stubs,3,584,401,217,47,128,41,55,296,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE,120,58301,38309,20373,2657,8872,3040,11120,78915,388,1290
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include,76,27430,20500,9381,88,3310,1537,3620,27850,88,610
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\external,32,4050,1927,1125,0,920,883,1203,13600,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\external\Display,2,425,134,101,0,92,72,199,1624,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\external\Hardware,6,308,154,92,0,69,71,85,837,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\external\Material,4,828,444,232,0,194,221,190,3043,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\external\Math,5,419,237,151,0,94,138,88,1275,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\external\Object3D,3,732,417,279,0,182,239,133,2973,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\external\Render,5,449,178,46,0,69,33,202,1440,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\internal,44,23380,18573,8256,88,2390,654,2417,14250,88,610
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\internal\Display,1,93,32,17,0,24,8,37,227,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\internal\Hardware,16,2817,1951,1388,87,447,61,419,2857,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\internal\Material,3,394,245,157,0,99,56,50,704,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\internal\Math,1,73,34,23,1,22,9,17,176,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\internal\Object3D,4,429,270,215,0,109,92,50,1042,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\internal\SpatialStructures,3,268,103,65,0,66,37,99,1084,0,0
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\include\internal\gl,7,18036,15100,5680,0,1417,360,1519,7103,88,610
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\source,44,30871,17809,10992,2569,5562,1503,7500,51065,300,680
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\source\Display,3,2733,1550,961,221,516,212,667,4452,8,16
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\source\Hardware,7,3044,1630,992,163,674,217,740,3975,56,131
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\source\Material,7,5203,2829,1645,580,1007,276,1367,8491,48,96
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\source\Math,6,2338,1090,623,176,406,118,842,4822,48,113
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\source\Object3D,5,8013,4652,2855,774,1249,321,2112,18296,40,80
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\source\Render,2,2679,1806,1030,175,465,148,408,3037,16,36
C:\__PR00F__\___developing___\projects\PGE\PGE\PURE\source\SpatialStructures,3,733,374,193,70,143,21,216,1559,24,48
C:\__PR00F__\___developing___\projects\PGE\PGE\UnitTests,50,25654,19655,10997,1570,4310,674,1689,12685,17,27
C:\__PR00F__\___developing___\projects\PGE\PGE\Weapons,2,2051,1286,683,159,283,79,482,4977,0,0
