File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getConsole() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getLoggerModuleName(),2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getGameTitle() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::SetGameTitle(const char* gameTitle),5,5,3,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getWaitingWhileInactive() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::SetWaitingWhileInactive(int msecs),4,4,3,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::isInactiveLikeActive() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::SetInactiveLikeActive(bool value),2,2,2,0,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::setCookie(int cookie),3,3,3,0,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getCookie() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getConfigProfiles(),2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getInput() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getWorld() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getPure() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getNetwork() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getAudio(),2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getBullets(),2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::isGameRunning() const,2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::destroyGame(),13,8,8,1,2,0,3,33,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::getLangFromMSG_ID(PGE_MSG_ID msg_id),14,14,12,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,"PGE::PGEimpl::showWindowsMessageDialogWin32(const char* msg, const char* cpt, UINT type)",2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,"PGE::PGEimpl::showWindowsMessageDialogWin32(PGE_MSG_ID msg_id, PGE_MSG_ID cpt_id, UINT type)",2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::PGEimpl(),2,1,1,0,1,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::PGEimpl(const PGE::PGEimpl&),2,1,1,0,1,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::operator=(const PGE::PGEimpl&),3,3,3,1,0,1,0,3,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,PGE::PGEimpl::PGEimpl(const char* gameTitle),2,1,1,0,1,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,busyWait(double microsecsToWait),12,11,7,2,1,0,0,0,
C:\__PR00F__\___developing___\projects\PGE\PGE\PGE.cpp,"PGE::PGEimpl::frameLimit( std::chrono::time_point<std::chrono::steady_clock>& timeNow, std::chrono::time_point<std::chrono::steady_clock>& timeLastTime)",14,12,8,2,1,0,1,7,
